#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403637132888318976.0000000000,4.6053979055,-1.8480601270,0.5587802567,0.4895050236,0.6601100115,0.4362728530,-0.366477287495
1403637132938319104.0000000000,4.6053662210,-1.8476316042,0.5586384325,0.4899099547,0.6599110595,0.4365313624,-0.365986337832
1403637132988318976.0000000000,4.6051003710,-1.8478513267,0.5587431947,0.4890700274,0.6607357371,0.4356430823,-0.366679558852
1403637133038319104.0000000000,4.6047968101,-1.8477829055,0.5587033690,0.4887768113,0.6611309512,0.4354998430,-0.366528281059
1403637133088318976.0000000000,4.6051499000,-1.8477694265,0.5588528485,0.4893955558,0.6604729490,0.4357749920,-0.366561904665
1403637133138319104.0000000000,4.6063243719,-1.8484318468,0.5599004518,0.4889010200,0.6598586575,0.4351928657,-0.369011536929
1403637133188318976.0000000000,4.6072515488,-1.8482409130,0.5608780200,0.4896561599,0.6595321061,0.4354831222,-0.368250860698
1403637133238319104.0000000000,4.6076354927,-1.8473726342,0.5614334922,0.4918185750,0.6590826392,0.4363449739,-0.365140559032
1403637133288318976.0000000000,4.6085067746,-1.8469514190,0.5629914620,0.4929506310,0.6589672768,0.4373750921,-0.362580794201
1403637133338319104.0000000000,4.6094818850,-1.8465863086,0.5660221937,0.4932197507,0.6595985531,0.4377852569,-0.360566353317
1403637133388318976.0000000000,4.6103791226,-1.8457527567,0.5707320418,0.4936418435,0.6617783776,0.4366845184,-0.357314624104
1403637133438319104.0000000000,4.6112912648,-1.8453105006,0.5752269165,0.4926208826,0.6644323523,0.4360973768,-0.354504433258
1403637133488318976.0000000000,4.6125496520,-1.8458491253,0.5784793980,0.4890660400,0.6669293193,0.4371506124,-0.353438868322
1403637133538319104.0000000000,4.6130156676,-1.8447260206,0.5805040542,0.4860848641,0.6707209787,0.4369211288,-0.350649113425
1403637133588318976.0000000000,4.6136365544,-1.8432872877,0.5820662562,0.4832157821,0.6744515058,0.4364201782,-0.348073415023
1403637133638319104.0000000000,4.6147375699,-1.8413447347,0.5848205072,0.4819642479,0.6771852270,0.4357908061,-0.345278156596
1403637133688318976.0000000000,4.6164855791,-1.8391579616,0.5894588164,0.4824367058,0.6784087606,0.4359172563,-0.342041699373
1403637133738319104.0000000000,4.6187189234,-1.8372736579,0.5974728885,0.4832160464,0.6792628233,0.4352790747,-0.340053519936
1403637133788318976.0000000000,4.6210041406,-1.8357564995,0.6089892343,0.4845211685,0.6802265137,0.4338092129,-0.338143008394
1403637133838319104.0000000000,4.6221786721,-1.8337028937,0.6243506347,0.4856411473,0.6828295277,0.4314216799,-0.334322966965
