#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403638128945096960.0000000000,4.6265387629,-1.7083496317,0.5461395743,0.5103444218,0.7886542665,-0.2868608379,0.187840034894
1403638128995097088.0000000000,4.6264667325,-1.7086660172,0.5459771241,0.5103545302,0.7886576935,-0.2868694803,0.187784975855
1403638129045096960.0000000000,4.6265826468,-1.7086672982,0.5459224344,0.5105650855,0.7887041375,-0.2861953050,0.188046069704
1403638129095097088.0000000000,4.6266594564,-1.7086902883,0.5461518903,0.5095481369,0.7896265709,-0.2838013806,0.190544879462
1403638129145096960.0000000000,4.6265764041,-1.7085134380,0.5469755807,0.5093628176,0.7896618557,-0.2826272271,0.192627942413
1403638129195097088.0000000000,4.6267783987,-1.7082456054,0.5488787730,0.5113749782,0.7883076370,-0.2827621014,0.192645516975
1403638129245096960.0000000000,4.6272339803,-1.7077847482,0.5529592999,0.5180352556,0.7837527253,-0.2869508712,0.187163931189
1403638129295097088.0000000000,4.6284473929,-1.7074542724,0.5599171069,0.5297565726,0.7745431633,-0.2957947689,0.178735325688
1403638129345096960.0000000000,4.6302831126,-1.7077073301,0.5682943014,0.5432033052,0.7627725207,-0.3068792631,0.170098114669
1403638129395097088.0000000000,4.6313335338,-1.7080333601,0.5758898882,0.5528686513,0.7537294017,-0.3167727016,0.160882872985
1403638129445096960.0000000000,4.6320791899,-1.7088266421,0.5805192415,0.5528399619,0.7527759908,-0.3212247354,0.156559744282
1403638129495097088.0000000000,4.6318611996,-1.7093173713,0.5825376902,0.5449275584,0.7596984092,-0.3184428401,0.156545331229
1403638129545096960.0000000000,4.6309573253,-1.7095449163,0.5833191401,0.5337461913,0.7701087610,-0.3104013885,0.160307446978
1403638129595097088.0000000000,4.6302519116,-1.7095513040,0.5849344727,0.5238058714,0.7795870088,-0.3001647552,0.166651206006
1403638129645096960.0000000000,4.6300114780,-1.7093429283,0.5881647634,0.5178649796,0.7853048374,-0.2920117115,0.172746448889
