#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1413393887255760384.0000000000,-1.0015689347,0.4141769115,1.3066970514,0.4134526643,0.5539092534,0.5832203034,-0.426726506144
1413393887305760512.0000000000,-1.0027620519,0.4140434295,1.3065348813,0.4134223843,0.5539398609,0.5832670628,-0.426652195718
1413393887355760384.0000000000,-1.0036602084,0.4139507385,1.3064876562,0.4134479154,0.5540319114,0.5831752378,-0.42663345443
1413393887405760512.0000000000,-1.0042670068,0.4139217677,1.3063770302,0.4134436852,0.5541313235,0.5831565583,-0.426533965843
1413393887455760384.0000000000,-1.0046488641,0.4138853406,1.3064192335,0.4133100632,0.5541927127,0.5831801917,-0.426551395251
1413393887505760512.0000000000,-1.0048077485,0.4138484092,1.3064169974,0.4132240486,0.5541575597,0.5832649471,-0.426564515897
1413393887555760384.0000000000,-1.0048687556,0.4138832521,1.3065311577,0.4131578907,0.5541708025,0.5832452355,-0.426638341424
1413393887605760512.0000000000,-1.0048283979,0.4140305739,1.3066988386,0.4133851147,0.5541721281,0.5831950694,-0.426485064676
1413393887655760384.0000000000,-1.0046467253,0.4140420566,1.3070645117,0.4133934840,0.5542450580,0.5828560534,-0.426845480252
1413393887705760512.0000000000,-1.0044945897,0.4139995671,1.3068919150,0.4132057358,0.5543854918,0.5829076769,-0.42677439763
1413393887755760384.0000000000,-1.0044440076,0.4140094801,1.3069943763,0.4132768958,0.5543515986,0.5828154230,-0.426875503374
1413393887805760512.0000000000,-1.0042420762,0.4139805240,1.3067851678,0.4132096625,0.5543802023,0.5830126726,-0.426634023123
1413393887855760384.0000000000,-1.0041235173,0.4139112598,1.3068017733,0.4131375062,0.5544545995,0.5829280708,-0.426722816722
1413393887905760512.0000000000,-1.0039619892,0.4139265665,1.3065399419,0.4129984274,0.5545791085,0.5830808689,-0.426486824738
1413393887955760384.0000000000,-1.0038449911,0.4138327474,1.3065811472,0.4129184977,0.5546279859,0.5829809114,-0.426637279761
1413393888005760512.0000000000,-1.0037483812,0.4138314616,1.3063460576,0.4129582436,0.5546043031,0.5830724228,-0.426504520355
