#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1403638127270096896,-0.010471975511965976,0.01117010721276371,0.065624379874986788,8.9567403333333324,0.081722083333333334,-3.9308322083333329
1403638127275097088,-0.012566370614359173,0.0153588974175501,0.059341194567807204,9.0956678750000002,0.04903325,-3.947176625
1403638127280097024,-0.01117010721276371,0.0153588974175501,0.059341194567807204,9.0711512499999998,-0.040861041666666667,-3.9553488333333329
1403638127285096960,-0.011868238913561441,0.021642082724729686,0.048171087355043489,9.2019065833333329,-0.089894291666666667,-3.9962098749999995
1403638127290096896,-0.01117010721276371,0.02722713633111154,0.050963614158234416,9.0057735833333332,-0.16344416666666667,-3.947176625
1403638127295097088,-0.0062831853071795866,0.034208453339088861,0.05305800926062762,8.9649125416666671,-0.17978858333333333,-3.9308322083333329
1403638127300097024,-0.0069813170079773184,0.030019663134302467,0.058643062867009467,8.7279184999999995,-0.196133,-3.8736267500000001
1403638127305096960,-0.0069813170079773184,0.019547687622336492,0.061435589670200401,8.7769517500000003,-0.17978858333333333,-3.8736267500000001
1403638127310096896,-0.013962634015954637,0.01117010721276371,0.067718774977379978,8.6952296666666662,-0.24516625,-3.8491101249999997
1403638127315097088,-0.014660765716752367,0.010471975511965976,0.073303828583761846,8.8423294166666651,-0.26151066666666667,-3.8981433750000001
1403638127320097024,-0.014660765716752367,0.0076794487087750501,0.084473935796525554,8.8586738333333326,-0.40043820833333332,-3.8654545416666664
1403638127325096960,-0.008377580409572781,0.013962634015954637,0.092851516206098328,9.0874956666666655,-0.392266,-3.92266
1403638127330096896,0.0020943951023931952,0.016755160819145562,0.10471975511965977,8.9649125416666671,-0.43312704166666666,-3.97169325
1403638127335097088,0.017453292519943295,0.024434609527920613,0.11030480872604163,9.1038400833333331,-0.34323275000000003,-3.97169325
1403638127340097024,0.018151424220741029,0.028623399732707,0.10471975511965977,8.8913626666666659,-0.26968287499999999,-3.9308322083333329
1403638127345096960,0.020943951023931952,0.021642082724729686,0.10192722831646883,8.9485681249999995,-0.04903325,-3.97169325
1403638127350096896,0.0153588974175501,0.016057029118347832,0.1054178868204575,8.8259849999999993,0.04903325,-3.9553488333333329
1403638127355097088,0.010471975511965976,0.014660765716752367,0.10821041362364843,8.8586738333333326,0.098066500000000001,-3.9635210416666666
1403638127360097024,0.0020943951023931952,0.0076794487087750501,0.1054178868204575,8.7769517500000003,0.098066500000000001,-3.92266
1403638127365096960,0.0,0.0034906585039886592,0.10471975511965977,8.9976013749999986,0.13892754166666665,-3.906315583333333
1403638127370096896,-0.0048869219055841231,0.0020943951023931952,0.097040306410884708,8.9812569583333328,0.065377666666666667,-3.9144877916666663
1403638127375097088,-0.0090757121103705145,0.0013962634015954637,0.085870199198121014,9.1201845000000006,0.081722083333333334,-3.92266
1403638127380097024,-0.0090757121103705145,0.0048869219055841231,0.074700091985357306,9.0302902083333318,0.016344416666666667,-3.857282333333333
1403638127385096960,-0.0048869219055841231,0.0055850536063818549,0.066322511575784518,9.0874956666666655,0.016344416666666667,-3.8654545416666664
1403638127390096896,-0.0041887902047863905,0.013264502315156905,0.060039326268604934,9.0302902083333318,-0.016344416666666667,-3.906315583333333
1403638127395097088,-0.0034906585039886592,0.014660765716752367,0.057246799465414,8.9894291666666657,-0.016344416666666667,-3.9635210416666666
1403638127400097024,0.00069813170079773186,0.019547687622336492,0.048171087355043489,8.9730847499999999,0.04903325,-3.97169325
1403638127405096960,-0.0027925268031909274,0.023736477827122883,0.045378560551852569,9.0629790416666669,0.13075533333333333,-4.0697597499999993
