#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1520530731372454010,-0.0884747972,-0.1008611572,0.0110013777,-0.2584447593,-0.4364623051,10.0313523357
1520530731377471010,-0.0897474356,-0.1119306194,0.0095665046,-0.2091394831,-0.4856309025,10.0134882120
1520530731382486010,-0.0827211086,-0.1227243872,0.0151526460,-0.1502136652,-0.5348002492,9.9211532347
1520530731387502010,-0.0784616170,-0.1340961796,0.0185751081,-0.1261623109,-0.5815685990,9.8431010929
1520530731392518010,-0.0706841142,-0.1442952281,0.0198355611,-0.1442008266,-0.5971560196,9.7712389450
1520530731397533010,-0.0613931849,-0.1495365067,0.0197782768,-0.1935061029,-0.6427195156,9.7008725060
1520530731402549010,-0.0516010574,-0.1527240566,0.0145952487,-0.2295831342,-0.6535089696,9.6675320071
1520530731407565010,-0.0380445009,-0.1573568542,0.0056064617,-0.2367985405,-0.6307247396,9.5908785190
1520530731412580010,-0.0197065471,-0.1614246797,0.0039179923,-0.3209782804,-0.6642941153,9.5150291134
1520530731417597010,-0.0031358160,-0.1683931995,-0.0029298129,-0.3390167961,-0.7266480124,9.5478055257
1520530731422613010,0.0172149630,-0.1651508576,-0.0137649993,-0.3053449002,-0.7422394604,9.4951965075
1520530731427629010,0.0400786402,-0.1627853268,-0.0232587928,-0.3486373378,-0.7350412461,9.4990973054
1520530731432644010,0.0553958332,-0.1644955772,-0.0352046209,-0.3642707181,-0.7374383093,9.4829817945
1520530731437660010,0.0722321766,-0.1554130829,-0.0511291836,-0.4099682912,-0.7566209970,9.5148231828
1520530731442677010,0.0888111092,-0.1495300894,-0.0692421006,-0.3738912598,-0.7062599090,9.5365036540
1520530731447691010,0.1006288229,-0.1352053712,-0.0848467674,-0.4207914006,-0.7230442222,9.5044364912
1520530731452708010,0.1124427063,-0.1246730224,-0.0988570589,-0.4207914006,-0.7482261711,9.4661102968
1520530731457723010,0.1219935399,-0.1138443477,-0.1150252940,-0.4316145100,-0.7218442389,9.5184863948
1520530731462737010,0.1297784170,-0.1085548535,-0.1304208629,-0.3510424732,-0.7194522332,9.5641855755
1520530731467755010,0.1380652606,-0.1094097326,-0.1363949438,-0.2187600248,-0.6966788678,9.5675243777
1520530731472771010,0.1473465183,-0.1190093958,-0.1410848546,-0.1369854203,-0.6343299346,9.5910726513
1520530731477787010,0.1520963837,-0.1367797960,-0.1420409682,-0.0720467638,-0.5959624987,9.6089974626
1520530731482803010,0.1593688660,-0.1498979857,-0.1389079913,-0.0371723002,-0.5791772489,9.6295602364
1520530731487819010,0.1653896880,-0.1615692146,-0.1322444686,0.0157406792,-0.5216226297,9.6196919340
1520530731492832010,0.1731781835,-0.1659507706,-0.1271519113,-0.0588185190,-0.4880408909,9.5471698369
1520530731497848010,0.1792109745,-0.1680026680,-0.1217677564,-0.0203363522,-0.4460739732,9.5827808108
1520530731502865010,0.1827495678,-0.1546048857,-0.1189665696,-0.0143235136,-0.4520701436,9.6884832321
1520530731507882010,0.1900580355,-0.1423777205,-0.1137463630,-0.0528056804,-0.4484697252,9.6772328463
1520530731512896010,0.1930903773,-0.1324803916,-0.1096181903,-0.0552108159,-0.4376772741,9.6470299895
1520530731517913010,0.1918429433,-0.1269496769,-0.1076797968,0.0097278406,-0.4316866296,9.6487163577
1520530731522929010,0.1895959436,-0.1179256554,-0.1046306758,-0.0540082481,-0.4640584571,9.6935297681
1520530731527945010,0.1858325299,-0.1144348884,-0.1029737225,-0.0010952688,-0.5072316333,9.6279767804
1520530731532961010,0.1790489121,-0.1138569630,-0.1021450372,0.0614382523,-0.4892493973,9.6017834104
1520530731537976010,0.1717590428,-0.1167794909,-0.0999893659,0.0049175698,-0.5120286633,9.6070043413
1520530731542992010,0.1642221831,-0.1176675246,-0.0959238450,0.0253612209,-0.5456061874,9.6498374232
1520530731548007010,0.1519077878,-0.1200114379,-0.0929427554,-0.0275517585,-0.5480003472,9.6317604811
1520530731553023010,0.1441158461,-0.1235213024,-0.0891673214,-0.0948955504,-0.4796440981,9.5788906900
1520530731558039010,0.1348302759,-0.1174197104,-0.0839629959,-0.0047029719,-0.4760537014,9.6640079553
1520530731563054010,0.1232979296,-0.1008313468,-0.0778628010,-0.0383748679,-0.4484708491,9.6991731207
1520530731568071010,0.1112601197,-0.0886241460,-0.0680073765,-0.0071081073,-0.3765248589,9.6976364850
1520530731573088010,0.1009800765,-0.0793388425,-0.0549308991,0.0518177106,-0.3177715675,9.7516264054
1520530731578103010,0.0886820802,-0.0738343127,-0.0448555929,0.1107435285,-0.2530225740,9.8021240473
1520530731583119010,0.0733672238,-0.0686194353,-0.0358590926,0.1287820442,-0.2014609406,9.8402489404
1520530731588135010,0.0570463331,-0.0651583578,-0.0249802428,0.1804924559,-0.1618933341,9.8699227776
1520530731593151010,0.0404748023,-0.0616995641,-0.0132892885,0.2791030083,-0.1187319589,9.8886773140
1520530731598166010,0.0256529934,-0.0646483555,-0.0024621468,0.3656878837,-0.1043490174,9.8785233662
1520530731603183010,0.0105788233,-0.0708134016,0.0123991960,0.4186008630,-0.0935608746,9.8942678350
1520530731608199010,-0.0032385391,-0.0746374096,0.0237588933,0.4354368110,-0.0851682029,9.9092036503
1520530731613213010,-0.0208303040,-0.0793246647,0.0305196420,0.3969546442,-0.0887626270,9.8921495608
1520530731618230010,-0.0346529824,-0.0843018275,0.0372711667,0.4017649151,-0.1235380739,9.9235145381
1520530731623246010,-0.0454578323,-0.0881144560,0.0448376208,0.4005623473,-0.1679061759,9.8387330001
1520530731628262010,-0.0582709167,-0.0901788366,0.0521506013,0.4390445142,-0.1906928411,9.7779491701
1520530731633277010,-0.0678063822,-0.0846673963,0.0600564064,0.4438547850,-0.1990871987,9.8116127099
1520530731638294010,-0.0725622028,-0.0771216781,0.0706743643,0.4546778944,-0.2014863225,9.7905911119
1520530731643309010,-0.0758015233,-0.0646283880,0.0837622273,0.4017649151,-0.2026813419,9.6586228930
1520530731648325010,-0.0828193822,-0.0562043033,0.0924972337,0.3356236908,-0.2134684544,9.6523043314
1520530731653341010,-0.0890872494,-0.0465961743,0.0944760849,0.3452442326,-0.2194649058,9.7335666144
1520530731658357010,-0.0951108157,-0.0431113925,0.0980310599,0.3789161285,-0.2134718262,9.7413680338
1520530731663372010,-0.0986086367,-0.0308870041,0.1027302439,0.3512570711,-0.1655040550,9.7078883019
1520530731668389010,-0.1076407440,-0.0201093210,0.1028293001,0.2730901698,-0.1786885118,9.7144727131
1520530731673404010,-0.1141596003,-0.0096242231,0.1037331036,0.2225823258,-0.1630957526,9.7103005482
1520530731678419010,-0.1214355168,-0.0000070183,0.1021967251,0.1636565079,-0.2014636568,9.7225329544
1520530731683436010,-0.1272008687,0.0116504689,0.1006731077,0.1408077214,-0.2722111622,9.7251486294
1520530731688452010,-0.1324656027,0.0218512303,0.0991374415,0.1480231276,-0.3033893752,9.7576488326
1520530731693467010,-0.1392474092,0.0265209225,0.0953979699,0.0782742003,-0.3057822238,9.7850593755
1520530731698483010,-0.1422577105,0.0323561728,0.0922014815,0.0746664971,-0.3177733470,9.7676740247
1520530731703499010,-0.1445163185,0.0352720457,0.0911457293,0.1155537994,-0.3069842677,9.7730762485
1520530731708514010,-0.1430057146,0.0355560082,0.0941211569,0.0734639294,-0.3225698151,9.7746632709
1520530731713530010,-0.1402331672,0.0375785721,0.1008952319,0.0049175698,-0.3177679147,9.8357572673
1520530731718547010,-0.1362087007,0.0363971269,0.1073719735,-0.0504005450,-0.3213610277,9.9199735727
1520530731723563010,-0.1309317860,0.0328880115,0.1127464132,-0.1369854203,-0.3285491267,9.9184990648
1520530731728578010,-0.1226365999,0.0320054521,0.1170530764,-0.2055317800,-0.3633188603,9.8808494134
1520530731733594010,-0.1128320330,0.0337525000,0.1189420340,-0.2151523217,-0.3920974812,9.7879996017
1520530731738610010,-0.1015254361,0.0314214837,0.1205265222,-0.2416088114,-0.4748361099,9.7685813501
1520530731743626010,-0.0919763903,0.0305481577,0.1215843010,-0.2921166553,-0.5323909165,9.7203190447
1520530731748641010,-0.0799240710,0.0256102731,0.1174659174,-0.3570553118,-0.5647626503,9.6477676208
1520530731753657010,-0.0671117394,0.0253355647,0.1131111571,-0.3955374786,-0.6079287084,9.5331320273
1520530731758673010,-0.0540432201,0.0306060019,0.1055516179,-0.4496530257,-0.6738772170,9.4512108478
1520530731763688010,-0.0392134058,0.0387968011,0.0958466754,-0.5230096562,-0.7278328228,9.4252481655
1520530731768705010,-0.0256374903,0.0487346867,0.0864279509,-0.5410481719,-0.8153686688,9.3766990571
1520530731773720010,-0.0148266460,0.0610156773,0.0721623189,-0.4809197862,-0.8729320922,9.3389813260
1520530731778736010,-0.0002415245,0.0765019176,0.0584552318,-0.4941480311,-0.8813250449,9.3739825856
1520530731783751010,0.0105698530,0.0911227256,0.0409608337,-0.4965531665,-0.8441515044,9.4378876637
1520530731788767010,0.0216269898,0.1031277272,0.0210110481,-0.4688941091,-0.8153742884,9.4771032777
1520530731793785010,0.0301626036,0.1090133975,0.0007486990,-0.3354090930,-0.7410379784,9.5547573063
1520530731798800010,0.0374359994,0.1090636008,-0.0168503192,-0.2067343477,-0.7626325277,9.6581188692
1520530731803816010,0.0424421152,0.1038628974,-0.0325913312,-0.2019240768,-0.6750956514,9.7649039310
1520530731808832010,0.0441750972,0.0934130789,-0.0472841077,-0.1754675872,-0.5791664781,9.8703079725
1520530731813846010,0.0408876460,0.0870406746,-0.0619364266,-0.1586316392,-0.5252064702,9.9084422319
1520530731818863010,0.0381045135,0.0838824383,-0.0798117757,-0.1273648786,-0.5120183607,9.9336922047
1520530731823878010,0.0365818779,0.0833456981,-0.0971283588,-0.1369854203,-0.5096193306,9.8931084681
1520530731828894010,0.0335559343,0.0851350728,-0.1128010816,-0.1297700141,-0.5491915265,9.8535639315
1520530731833911010,0.0312786926,0.0819661069,-0.1266191757,-0.0732493316,-0.5743778775,9.7821475688
1520530731838926010,0.0292510718,0.0752904270,-0.1366767710,-0.0985032535,-0.6151466850,9.7092180634
1520530731843943010,0.0267209435,0.0694923460,-0.1480794931,-0.1959112383,-0.6918840856,9.6463230932
1520530731848959010,0.0257030971,0.0674850399,-0.1602677532,-0.3414219315,-0.8633498333,9.6293123172
1520530731853974010,0.0272023358,0.0704409965,-0.1756694387,-0.3919297755,-0.9700693973,9.6612858876
1520530731858989010,0.0266908741,0.0725190981,-0.1899918762,-0.2981294939,-0.9712758432,9.7091841086
1520530731864005010,0.0261802828,0.0716673290,-0.1983845347,-0.3342065253,-0.9688747525,9.7327758007
1520530731869022010,0.0291831196,0.0658568454,-0.2043866068,-0.2752807073,-0.9101214611,9.7670092739
1520530731874038010,0.0299194291,0.0571345442,-0.2114888929,-0.3269911190,-0.9065200125,9.7988869701
1520530731879053010,0.0298960870,0.0472602496,-0.2237390431,-0.3931323432,-0.9364933718,9.8820722024
1520530731884068010,0.0266029199,0.0379798276,-0.2405779599,-0.3991451818,-1.0324241374,9.9775200791
