# accelerometer data
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp ax ay az
1305031098.382263 -0.478957 8.010560 -4.166928
1305031098.385267 -0.574749 8.202143 -4.166928
1305031098.386375 -0.574749 8.202143 -4.166928
1305031098.387879 -0.574749 8.202143 -4.166928
1305031098.388970 -0.574749 8.202143 -4.166928
1305031098.392251 -0.275400 8.202143 -4.358511
1305031098.393462 -0.275400 8.202143 -4.358511
1305031098.396373 -0.275400 8.297935 -4.358511
1305031098.397545 -0.275400 8.297935 -4.358511
1305031098.401150 -0.275400 8.393726 -4.358511
1305031098.402140 -0.275400 8.393726 -4.358511
1305031098.405396 -0.275400 8.381752 -4.382459
1305031098.406394 -0.275400 8.381752 -4.382459
1305031098.409977 -0.478957 8.381752 -4.166928
1305031098.410988 -0.478957 8.381752 -4.166928
1305031098.412268 -0.478957 8.381752 -4.166928
1305031098.413276 -0.478957 8.381752 -4.166928
1305031098.416519 -0.371192 8.345830 -4.358511
1305031098.417523 -0.371192 8.345830 -4.358511
1305031098.421005 -0.299348 8.202143 -4.406407
1305031098.422147 -0.299348 8.202143 -4.406407
1305031098.425267 -0.191583 8.106352 -4.358511
1305031098.426399 -0.191583 8.106352 -4.358511
1305031098.427863 -0.191583 8.106352 -4.358511
1305031098.429007 -0.191583 8.106352 -4.358511
1305031098.432241 -0.275400 8.202143 -4.358511
1305031098.433280 -0.275400 8.202143 -4.358511
1305031098.436431 -0.275400 8.058456 -4.358511
1305031098.437555 -0.275400 8.058456 -4.358511
1305031098.441007 -0.371192 8.010560 -4.550094
1305031098.442128 -0.371192 8.010560 -4.550094
1305031098.445256 -0.371192 8.034508 -4.550094
1305031098.446375 -0.371192 8.034508 -4.550094
1305031098.447624 -0.371192 8.034508 -4.550094
1305031098.448625 -0.371192 8.034508 -4.550094
1305031098.452286 -0.275400 7.818977 -4.717729
1305031098.453275 -0.275400 7.818977 -4.717729
1305031098.456386 -0.275400 7.818977 -4.550094
1305031098.457525 -0.275400 7.818977 -4.550094
1305031098.461002 -0.299348 7.914769 -4.454303
1305031098.462154 -0.299348 7.914769 -4.454303
1305031098.465401 -0.275400 7.914769 -4.741677
1305031098.466385 -0.275400 7.914769 -4.741677
1305031098.470141 -0.275400 7.914769 -4.358511
1305031098.471137 -0.275400 7.914769 -4.358511
1305031098.472490 -0.275400 7.914769 -4.358511
1305031098.473375 -0.275400 7.914769 -4.358511
1305031098.476587 -0.299348 7.651342 -4.358511
1305031098.477531 -0.299348 7.651342 -4.358511
1305031098.481418 -0.478957 7.627394 -3.975345
1305031098.482404 -0.478957 7.627394 -3.975345
1305031098.483394 -0.478957 7.627394 -3.975345
1305031098.486562 -0.478957 7.627394 -3.975345
1305031098.487486 -0.478957 7.627394 -3.975345
1305031098.491180 -0.275400 7.603447 -3.592179
1305031098.492142 -0.275400 7.603447 -3.592179
1305031098.495410 -0.275400 7.627394 -3.592179
1305031098.496418 -0.275400 7.627394 -3.592179
1305031098.500076 -0.275400 7.818977 -3.568232
1305031098.501085 -0.275400 7.818977 -3.568232
1305031098.502284 -0.275400 7.818977 -3.568232
1305031098.503246 -0.275400 7.818977 -3.568232
1305031098.506656 -0.275400 8.010560 -3.209014
1305031098.507697 -0.275400 8.010560 -3.209014
1305031098.511146 -0.323296 8.106352 -3.113222
1305031098.512330 -0.323296 8.106352 -3.113222
1305031098.515395 -0.275400 8.022534 -3.209014
1305031098.516567 -0.275400 8.022534 -3.209014
1305031098.520022 -0.323296 8.202143 -3.113222
1305031098.521193 -0.323296 8.202143 -3.113222
1305031098.522412 -0.323296 8.202143 -3.113222
1305031098.523417 -0.323296 8.202143 -3.113222
1305031098.526546 -0.574749 8.393726 -3.017431
1305031098.527504 -0.574749 8.393726 -3.017431
1305031098.531205 -0.574749 8.393726 -3.017431
1305031098.532185 -0.574749 8.393726 -3.017431
1305031098.535443 -0.478957 8.441622 -3.113222
1305031098.536420 -0.478957 8.441622 -3.113222
1305031098.540025 -0.371192 8.776892 -2.825848
1305031098.541168 -0.371192 8.776892 -2.825848
1305031098.542459 -0.371192 8.776892 -2.825848
1305031098.543418 -0.371192 8.776892 -2.825848
